iter	Passed	Remaining
779	1026	289
780	1027	288
781	1028	286
782	1030	285
783	1031	284
784	1032	282
785	1033	281
786	1034	280
787	1035	278
788	1037	277
789	1038	275
790	1039	274
791	1040	273
792	1041	271
793	1042	270
794	1043	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1050	262
800	1051	261
801	1052	259
802	1054	258
803	1055	257
804	1056	256
805	1058	254
806	1059	253
807	1061	252
808	1062	250
809	1063	249
810	1065	248
811	1067	247
812	1069	245
813	1070	244
814	1072	243
815	1073	242
816	1074	240
817	1076	239
818	1077	238
819	1078	236
820	1080	235
821	1081	234
822	1083	232
823	1084	231
824	1085	230
825	1087	228
826	1088	227
827	1089	226
828	1090	225
829	1092	223
830	1094	222
831	1095	221
832	1097	219
833	1098	218
834	1100	217
835	1102	216
836	1103	214
837	1105	213
838	1106	212
839	1108	211
840	1109	209
841	1111	208
842	1112	207
843	1114	205
844	1115	204
845	1117	203
846	1118	202
847	1120	200
848	1121	199
849	1124	198
850	1125	197
851	1127	195
852	1128	194
853	1129	193
854	1131	191
855	1133	190
856	1134	189
857	1136	188
858	1137	186
859	1138	185
860	1140	184
861	1141	182
862	1142	181
863	1143	180
864	1145	178
865	1147	177
866	1148	176
867	1150	174
868	1151	173
869	1153	172
870	1155	171
871	1156	169
872	1158	168
873	1159	167
874	1161	165
875	1162	164
876	1164	163
877	1166	162
878	1168	160
879	1169	159
880	1171	158
881	1172	156
882	1174	155
883	1175	154
884	1177	152
885	1178	151
886	1180	150
887	1181	149
888	1183	147
889	1184	146
890	1186	145
891	1188	143
892	1189	142
893	1191	141
894	1193	140
895	1195	138
896	1196	137
897	1198	136
898	1200	134
899	1201	133
900	1203	132
901	1204	130
902	1206	129
903	1208	128
904	1209	126
905	1211	125
906	1212	124
907	1214	123
908	1216	121
909	1217	120
910	1219	119
911	1221	117
912	1223	116
913	1225	115
914	1227	114
915	1228	112
916	1230	111
917	1232	110
918	1234	108
919	1236	107
920	1237	106
921	1239	104
922	1240	103
923	1242	102
924	1243	100
925	1244	99
926	1246	98
927	1248	96
928	1249	95
929	1251	94
930	1252	92
931	1254	91
932	1256	90
933	1258	88
934	1259	87
935	1261	86
936	1263	84
937	1264	83
938	1265	82
939	1267	80
940	1268	79
941	1269	78
942	1270	76
943	1272	75
944	1273	74
945	1275	72
946	1276	71
947	1277	70
948	1278	68
949	1279	67
950	1281	66
951	1282	64
952	1283	63
953	1285	61
954	1286	60
955	1288	59
956	1289	57
957	1290	56
958	1291	55
959	1292	53
960	1294	52
961	1295	51
962	1296	49
963	1298	48
964	1299	47
965	1301	45
966	1302	44
967	1303	43
968	1304	41
969	1306	40
970	1307	39
971	1308	37
972	1310	36
973	1311	35
974	1312	33
975	1314	32
976	1315	30
977	1316	29
978	1317	28
979	1319	26
980	1320	25
981	1321	24
982	1322	22
983	1323	21
984	1325	20
985	1326	18
986	1328	17
987	1329	16
988	1330	14
989	1331	13
990	1332	12
991	1333	10
992	1334	9
993	1336	8
994	1337	6
995	1338	5
996	1339	4
997	1341	2
998	1342	1
999	1343	0
